,Time,ProductId,UserId,Score,Summary,Text
10,1351123200,B000H9K4KA,A2WMZYYF8OSGD6,5,FABULOUS...,Absolutely wonderful.  A real licorice taste.  No phony baloney here!<br />It has a great flavor.  I'd purchase it again for sure.
11,1351123200,B004QDA8WC,ANM000BVVUSCT,5,"Exactly what I was looking for: Fast, fantastic Chai!","I was skeptical as to how good an all-in-one Chai Tea for Keurig could be, but my doubts were erased at my first sip!  The spice blend is great, as is the sweetening and the dairy component.  This is the kind of thing I was hoping I could get from my single-serve coffeemaker!<br /><br />Order some, you will thank yourself every time you brew a cup."
12,1351123200,B000K8T3OQ,AK43Y4WT6FFR3,1,Broken in a million pieces,"Chips were broken into small pieces. Problem isn't amazon's, it's Stacy's. Stacy (or amazon) needs to pack the original box of six better, the bags move around too much. There was room for at least two more bags in the box.<br />Amazon packed the Stacy's box in their box very tight and good.<br /><br />I tried to complain to Stacy, they make it very hard, no luck.<br />Chips taste great though, maybe I'll pour them in a bowl with milk for breakfast."
13,1351123200,B0051C0J6M,AWFA8N9IXELVH,1,Deceptive description,On Oct 9 I ordered from a different vendor the same product 1.2 oz- 6 pack.  That order was 6 packs of 1.2 oz ea.  When I saw this item I decided to order it.  it read the same as my first order 1.2 oz- 6 pack & the price was approximately the same.  I received the order today & what is it but 1 large bag of small packs totaling 1.2 oz.  I call this deceptive not curious as another reviewer put it. I think the descriptions should be more specfic. The 1 star rating I gave is because of the description not the product itself.  The chips are actually very good.
14,1351123200,B0051C0J6M,AG4YGLLIE8BWP,5,Makes me drool just thinking of them,"The Brit's have out done us. The flavor is supreme,they satisfy my hunger for steak and onions...<br />Get them while you can...  Their other flavors are great tooo"
15,1351123200,B003J9HAU2,A23WYVBCNE75X1,3,it's alright,My kitten prefers Kitten Chow or Iams.  He leaves it in his bowl unlike other brands I have purchased in the past.
16,1351123200,B001444G5Q,A3FIA99WOIL40T,2,these are mini candy bars.,I was very disappointed with this order because no where on the description did it say that these were mini candy bars. If you don't want mini's DO NOT BY THIS PACKAGE!!!! Now I have to spend more money because it would cost a ton of money to send these back and I'm not going to give out mini's to trick or treaters.
17,1351123200,B006Q7YG24,A7EU2BWLLCJY2,5,My dogs love them!,"I've tried several different kinds of freeze-dried chicken treats and, for the most part, they are all so dehydrated that they literally turn into dust in the bag.  You get a couple of solid pieces out of a bag, then the rest you have to sprinkle on top of dog food because it's just chicken powder.  These don't do that!  They have some additional ingredients in them besides chicken (veggies and fruit mostly) so they stay together very nicely.  They are definitely designed for larger dogs - each treat is about the size of a fifty-cent piece (when was the last time you saw one of those?) and about a quarter to a half an inch thick.  But they break easily into smaller pieces for little dogs.  I have teeny, tiny chihuahuas so I have to break these treats into M&M-sized pieces for them, but they can't get enough!  And the bag goes a long ways if you are breaking them down into smaller treats.  These are now permanently on my shopping list for my babies."
18,1351123200,B008JKSJJ2,A1XV4W7JWX341C,5,"Loved these gluten free healthy bars, saved $$ ordering on Amazon",These Kind Bars are so good and healthy & gluten free.  My daughter came across them and loves them for a quick snack between her hectic schedule of classes & work. Most times she won't have time to eat a full meal and these are such a great alternative to fast food.  I will order again & this time I'll get a few for moi! Really loved the coconut too..
19,1351123200,B008JKSJJ2,A34XBAIFT02B60,1,Should advertise coconut as an ingredient more prominently,"First, these should be called Mac - Coconut bars, as Coconut is the #2 ingredient and Mango is #3.  Second, lots of people don't like coconut.  I happen to be allergic to it.  Word to Amazon that if you want happy customers to make things like this more prominent.  Thanks."
